rea_de_conocimiento,nmero_de_graduados,porcentaje_del_total
Administración de Empresas y Derecho,4372,0.4458040175384929
"Ingeniería, Industria y Construcción",3107,0.31681452024064444
"Ciencias Sociales, Periodismo e Información",721,0.07351891506067094
Salud y Bienestar,419,0.04272458448047313
Educación,400,0.040787192821454064
"Ciencias Naturales, Matemáticas y Estadística",325,0.033139594167431424
"Agropecuario, Silvicultura, Pesca y Veterinaria",243,0.024778219639033344
Tecnologías de la Información y la Comunicación (TIC),130,0.01325583766697257
Otros,90,0.009177118384827165
Total,9807,1.0
